id,name,us_sound,us_link,type
1,a,eɪ,../audio/a/a_01_00.mp3,noun
5,aa,ˌeɪˈeɪ,../audio/a/usad___004.mp3,noun
6,aaa,ˌeɪ.eɪˈeɪ,../audio/a/usad___005.mp3,noun
7,aah,ɑː,../audio/a/usad___006.mp3,exclamation
17,aardvark,ˈɑːrd.vɑːrk,../audio/a/usad___007.mp3,noun
33,ab,ˌeɪˈbiː,../audio/a/usad___008.mp3,noun
34,aba,"",../audio/a/usbp0004.mp3,noun
49,aback,əˈbæk,../audio/a/usad___009.mp3,adverb
59,abacus,ˈæb.ə.kəs,../audio/a/abacus.mp3,noun
68,abaft,əˈbæft,../audio/a/cdo0318usabaf0009.mp3,adverb
83,abalone,æb.əˈloʊ.ni,../audio/a/ca2us001.mp3,noun
91,abandon,əˈbæn.dən,../audio/a/abandon.mp3,verb
93,abandoned,əˈbæn.dənd,../audio/a/abandoned.mp3,adjective
98,abandoning,əˈbæn.dən,../audio/a/abandon.mp3,verb
99,abandonment,əˈbæn.dən.mənt,../audio/a/abandonment.mp3,noun
117,abase,əˈbeɪs,../audio/a/usad___010.mp3,verb
118,abased,əˈbeɪs,../audio/a/usad___010.mp3,verb
121,abasement,əˈbeɪs.mənt,../audio/a/usad___011.mp3,noun
127,abash,əˈbæʃ,../audio/a/cdo1121usabas0004.mp3,verb
128,abashed,əˈbæʃt,../audio/a/abashed.mp3,adjective
140,abasing,əˈbeɪs,../audio/a/usad___010.mp3,verb
150,abate,əˈbeɪt,../audio/a/abate.mp3,verb
151,abated,əˈbeɪt,../audio/a/abate.mp3,verb
152,abatement,əˈbeɪt.mənt,../audio/a/usad___012.mp3,noun
158,abating,əˈbeɪt,../audio/a/abate.mp3,verb
171,abattoir,ˈæb.ə.twɑːr,../audio/a/cald4us0003.mp3,noun
200,abbey,ˈæb.i,../audio/a/abbey.mp3,noun
205,abbess,ˈæb.es,../audio/a/usad___014.mp3,noun
213,abbot,ˈæb.ət,../audio/a/usad___015.mp3,noun
226,abbreviate,əˈbriː.vi.eɪt,../audio/a/eus70010.mp3,verb
227,abbreviated,əˈbriː.vi.eɪ.t̬ɪd,../audio/a/cus00021.mp3,adjective
230,abbreviating,əˈbriː.vi.eɪt,../audio/a/eus70010.mp3,verb
231,abbreviation,əˌbriː.viˈeɪ.ʃən,../audio/a/abbreviation.mp3,noun
238,abc,ˌeɪ.biːˈsiː,../audio/a/usad___016.mp3,noun
